"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,20.52,17.69,17.38,17.84,12.88
180390001002,11.6,10.57,12.28,18.09,11.15
180390003011,24.44,26.75,29.31,18.91,21.6
180390003021,61.72,65.85,65.57,72.41,72.25
180390003022,24.53,26.01,23.4,19.82,21.24
180390003023,77.74,85.91,78.11,18.52,12.94
180390003024,29.02,21.29,17.9,58.96,64.51
180390003025,47.74,42.79,42.4,63.06,66.3
180390004001,16.25,17.19,14.51,22.22,20.98
180390004002,31.52,37.91,35.81,36.39,25.43
180390004003,28.39,30.19,33.09,34.08,36.1
180390005011,14.24,20.89,24.63,35.98,27.18
180390005012,27.78,32.99,34.2,54.67,45.62
180390005021,13.32,16.87,13.21,8.67,19.3
180390005022,47.63,42.47,31.05,17.68,28.46
180390005023,19.68,22.81,25.07,46.68,44.61
180390008011,32.52,36.24,31.81,26.17,29.35
180390008012,37.65,31.56,36.05,41.26,33.58
180390010001,19.9,24.87,22.52,19.15,20.65
180390010002,35.15,35.37,30.05,29.77,23.97
180390010003,24.52,25.04,26.02,22.07,19.73
180390011001,26.37,29.84,24.85,33.39,32.55
180390011002,36.74,38.5,36.13,29.47,27.73
180390011003,33.16,27.82,26.32,7.1,7.25
180390012001,11.57,12.39,13.64,12.85,17.81
180390012002,44.32,50.31,49.36,55.9,51.69
180390012003,43.77,57.0,54.9,42.86,44.14
180390012004,6.36,9.37,8.9,15.4,16.57
180390015011,29.24,26.62,24.66,34.36,34.37
180390015012,26.6,26.78,24.91,16.98,16.78
180390015021,31.01,26.45,26.99,27.49,30.74
180390015022,30.18,32.5,33.24,20.49,33.6
180390015023,37.3,32.69,36.47,31.9,30.56
180390016011,26.06,30.07,22.34,28.64,29.12
180390016012,38.87,28.26,33.73,29.52,26.43
180390016013,35.2,40.15,42.15,21.41,20.98
180390016021,25.0,31.25,31.2,40.05,43.44
180390016022,27.84,24.51,25.28,23.36,20.48
180390016023,35.2,39.74,36.84,29.45,32.45
180390017011,30.87,30.06,28.73,32.23,33.02
180390017021,42.54,46.48,52.0,36.93,46.6
180390017022,35.71,27.74,34.78,31.02,15.22
180390017023,46.31,52.79,51.77,40.37,49.5
180390017024,47.2,60.55,48.7,30.22,26.07
180390017025,40.22,36.94,32.36,43.92,33.27
180390018011,27.57,25.0,19.2,32.26,36.93
180390018012,41.03,44.11,43.32,37.97,44.74
180390018013,33.43,35.52,33.73,35.53,32.9
180390018021,54.34,45.81,42.96,48.68,44.89
180390018022,45.67,40.27,37.95,32.58,26.34
180390018023,17.69,12.11,20.06,10.21,17.28
180390018024,44.69,43.45,42.59,39.14,40.26
