"id","y_2020"
180390001001,13.45
180390001002,18.15
180390002011,0.0
180390002012,4.57
180390002021,9.01
180390002022,17.73
180390002023,30.65
180390003011,11.88
180390003012,5.89
180390003021,4.4
180390003022,19.47
180390003023,16.86
180390003024,21.18
180390003025,12.28
180390004001,23.61
180390004002,4.05
180390004003,7.1
180390004004,12.09
180390005011,0.0
180390005012,0.0
180390005013,1.5
180390005014,7.56
180390005021,7.02
180390005022,4.88
180390005023,7.52
180390005024,3.92
180390006011,3.37
180390006012,0.0
180390006021,4.59
180390006022,6.78
180390006023,20.13
180390007011,0.0
180390007012,15.12
180390007013,24.36
180390007021,9.59
180390007022,5.11
180390007023,27.08
180390008011,8.26
180390008012,6.79
180390008031,6.11
180390008032,7.63
180390008041,17.85
180390008042,1.83
180390008043,5.23
180390009011,6.82
180390009012,11.61
180390009013,0.0
180390009021,14.17
180390009022,9.86
180390010001,8.7
180390010002,10.65
180390010003,7.48
180390011001,2.16
180390011002,10.29
180390011003,11.52
180390012001,8.91
180390012002,12.92
180390012003,6.67
180390012004,4.19
180390013011,8.46
180390013012,18.6
180390013013,21.15
180390013021,7.2
180390013022,6.54
180390013023,15.26
180390014011,4.4
180390014012,20.23
180390014013,5.31
180390014014,0.0
180390014021,3.63
180390014022,2.59
180390015011,14.25
180390015012,24.16
180390015013,6.78
180390015021,10.28
180390015022,22.13
180390015023,13.46
180390015024,8.75
180390016011,0.0
180390016012,13.71
180390016013,2.89
180390016014,7.33
180390016021,11.57
180390016022,7.86
180390016023,15.8
180390017011,6.73
180390017012,9.96
180390017021,16.81
180390017022,13.04
180390017023,0.0
180390017024,0.0
180390017025,9.45
180390018011,1.35
180390018012,18.42
180390018013,6.84
180390018021,11.82
180390018022,8.47
180390018023,3.91
180390018024,26.05
180390018025,12.46
180390019011,8.94
180390019012,31.06
180390019013,0.0
180390019014,4.19
180390019015,0.0
180390019021,14.43
180390019022,5.8
180390019023,16.14
180390020011,5.84
180390020012,1.81
180390020021,0.0
180390020022,25.65
180390020023,0.0
180390021011,12.87
180390021012,15.01
180390021013,2.92
180390021021,28.01
180390021022,11.04
180390021023,0.0
180390021024,1.7
180390022011,11.62
180390022012,2.12
180390022013,3.2
180390022021,24.91
180390022022,45.89
180390022023,0.0
180390022024,18.11
180390023001,10.0
180390023002,13.48
180390023003,0.0
180390024001,3.7
180390024002,5.13
180390024003,0.0
180390024004,4.36
180390024005,1.49
180390026001,0.0
180390026002,4.86
180390026003,6.25
180390026004,0.0
180390026005,0.0
180390027001,5.88
180390027002,5.66
180390027003,11.54
180390029001,32.59
180390029002,0.0
180390029003,10.15
180390029004,0.0
180390029005,11.99
180910401001,45.45
180910401002,9.42
180910403001,26.51
180910403002,13.57
180910403003,0.0
180910404001,13.0
180910404002,9.92
180910404003,5.53
180910405001,14.04
180910405002,3.29
180910405003,15.82
180910406001,0.0
180910406002,10.66
180910406003,4.52
180910407001,5.25
180910407002,10.0
180910408001,22.33
180910408002,0.0
180910408003,9.06
180910409001,13.31
180910411001,4.66
180910411002,5.51
180910412001,5.75
180910413001,12.56
180910413002,31.53
180910414001,1.65
180910414002,3.55
180910414003,4.86
180910415001,1.94
180910415002,21.58
180910415003,7.6
180910416001,0.0
180910416002,16.27
180910416003,1.96
180910416004,3.82
180910417001,11.72
180910417002,4.27
180910417003,0.0
180910418001,9.63
180910418002,6.88
180910418003,31.41
180910418004,6.43
180910419001,0.0
180910419002,5.88
180910419003,7.11
180910419004,0.0
180910419005,4.0
180910420001,4.53
180910420002,0.0
180910421001,0.0
180910421002,4.84
180910421003,15.13
180910421004,10.76
180910421005,1.29
180910422001,9.93
180910422002,9.09
180910423001,6.21
180910423002,7.62
180910424011,47.49
180910424012,0.0
180910424013,17.2
180910424021,2.87
180910424022,9.32
180910424023,7.02
180910425001,3.68
180910425002,1.79
180910425003,13.46
180910425004,0.0
180910426011,7.63
180910426012,5.81
180910426013,11.29
180910426014,8.84
180910426021,9.76
180910427001,9.64
180910427002,14.45
180910427003,11.19
180910427004,24.83
180910428001,2.53
180910428002,8.55
180910429001,2.93
180910429002,8.45
180910429003,21.75
180910430001,5.66
180910430002,2.22
180910430003,0.0
180919900000,
180990201011,7.14
180990201012,2.86
180990201013,14.1
180990201014,24.0
180990201021,5.01
180990201022,5.92
180990201023,15.65
180990202011,13.24
180990202012,4.52
180990202013,5.6
180990202021,8.79
180990202022,11.35
180990203011,8.2
180990203012,14.7
180990203013,6.49
180990203014,5.85
180990203021,10.66
180990203022,6.09
180990203023,2.95
180990204001,40.0
180990204002,10.05
180990204003,10.6
180990205001,4.84
180990205002,12.94
180990205003,6.32
180990206001,17.74
180990206002,3.64
180990206003,2.54
180990206004,1.87
180990207011,6.19
180990207012,2.62
180990207021,7.73
180990207022,5.94
180990207023,9.52
180990208001,2.81
180990208002,18.87
180990208003,11.69
180990208004,0.0
181410001001,1.61
181410001002,1.29
181410001003,8.33
181410002001,2.78
181410002002,10.22
181410002003,0.0
181410002004,7.77
181410003011,15.82
181410003012,35.19
181410003013,6.5
181410003021,3.75
181410003022,0.0
181410004001,3.17
181410004002,5.19
181410004003,9.01
181410005001,2.94
181410005002,7.87
