"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,8.21,6.4,7.06,6.54,4.74
180390001002,2.44,0.0,0.0,0.0,2.52
180390003011,1.04,1.28,2.05,0.75,1.14
180390003021,0.0,0.0,0.0,0.0,0.0
180390003022,0.0,0.0,0.0,0.0,0.0
180390003023,4.87,7.14,8.01,1.56,2.96
180390003024,0.0,0.0,1.55,11.06,7.15
180390003025,5.28,9.3,9.01,3.4,6.07
180390004001,6.65,5.59,8.77,0.0,5.06
180390004002,4.37,3.84,11.64,6.88,7.71
180390004003,3.22,3.24,2.09,1.87,2.22
180390005011,5.18,4.77,4.45,4.6,4.87
180390005012,4.71,7.26,3.94,0.0,3.37
180390005021,18.11,0.0,0.0,0.0,0.0
180390005022,2.35,3.98,1.22,7.04,7.91
180390005023,2.37,2.48,2.71,0.0,0.0
180390008011,0.0,4.82,3.75,4.12,4.34
180390008012,0.0,0.0,0.0,0.0,0.0
180390010001,1.75,4.19,2.6,5.01,4.64
180390010002,3.16,0.0,1.34,2.05,2.12
180390010003,1.44,0.65,0.75,0.0,0.54
180390011001,1.15,0.0,0.0,0.0,0.0
180390011002,1.33,1.08,0.8,0.0,0.0
180390011003,2.81,4.21,3.31,2.13,1.05
180390012001,3.1,1.01,1.18,0.82,6.35
180390012002,0.0,0.0,0.0,0.0,0.0
180390012003,0.0,0.0,0.0,0.0,8.09
180390012004,10.7,9.59,5.55,8.87,13.86
180390015011,2.14,0.91,1.12,9.17,7.97
180390015012,7.19,10.16,8.8,0.0,21.18
180390015021,1.04,4.51,3.81,3.94,6.83
180390015022,7.59,10.5,0.0,0.0,0.0
180390015023,0.95,3.34,3.34,1.43,1.48
180390016011,2.7,0.0,0.0,0.0,0.0
180390016012,5.44,1.24,2.35,1.08,1.96
180390016013,5.97,6.86,7.34,13.3,17.32
180390016021,3.27,3.79,8.6,9.71,8.21
180390016022,1.84,2.0,0.0,0.0,0.0
180390016023,5.19,4.0,2.28,2.18,1.93
180390017011,3.79,4.6,3.51,6.14,6.81
180390017021,0.0,0.0,0.0,16.92,18.34
180390017022,7.65,5.76,0.0,0.0,0.0
180390017023,8.64,11.11,10.25,10.55,0.0
180390017024,8.94,18.32,30.95,19.48,18.41
180390017025,2.24,5.9,7.25,9.9,7.22
180390018011,2.08,1.77,4.95,4.01,4.26
180390018012,5.23,2.45,1.72,0.0,0.0
180390018013,3.12,3.34,1.62,1.47,1.47
180390018021,14.18,0.0,0.0,2.56,2.1
180390018022,2.13,9.09,8.22,6.78,5.34
180390018023,0.0,0.0,0.0,0.0,2.83
180390018024,6.11,4.53,3.87,6.31,7.4
180390019011,6.45,4.03,7.35,8.71,8.83
