"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,37.47,41.72,45.1,41.24,51.38
180390001002,50.81,40.0,29.41,31.33,33.66
180390003011,21.47,24.67,21.39,19.83,21.7
180390003021,0.0,30.91,23.77,28.37,19.47
180390003022,56.41,0.0,0.0,0.0,0.0
180390003023,51.2,92.13,86.87,19.12,27.35
180390003024,7.14,9.35,5.42,63.11,12.3
180390003025,25.63,60.2,59.32,0.0,0.0
180390004001,73.05,62.59,66.22,56.67,7.49
180390004002,23.36,10.64,30.95,21.15,14.02
180390004003,2.52,7.97,9.55,11.24,9.01
180390005011,81.16,81.61,67.71,20.06,32.83
180390005012,20.04,25.63,19.09,100.0,71.43
180390005021,55.03,74.13,0.0,0.0,0.0
180390005022,18.93,18.5,15.69,11.11,15.26
180390005023,65.33,45.12,46.21,29.38,45.68
180390008011,10.92,4.53,0.0,0.0,8.7
180390008012,4.62,3.01,1.47,1.39,1.8
180390010001,54.64,40.98,38.51,21.38,18.49
180390010002,0.0,0.0,0.0,0.0,0.0
180390010003,1.2,1.25,3.93,1.97,1.96
180390011001,5.44,4.77,12.4,14.55,4.35
180390011002,0.0,0.0,1.34,1.37,1.44
180390011003,23.98,30.22,27.82,38.72,44.76
180390012001,17.55,17.81,26.55,31.6,30.31
180390012002,0.0,0.0,0.0,0.0,0.0
180390012003,0.0,0.0,0.0,0.0,0.0
180390012004,25.22,27.16,36.49,42.89,33.05
180390015011,30.26,33.01,25.98,56.66,69.23
180390015012,58.01,47.66,54.28,0.0,100.0
180390015021,47.04,40.28,30.59,16.35,37.76
180390015022,0.0,0.0,0.0,0.0,0.0
180390015023,3.26,3.27,4.27,6.47,8.42
180390016011,42.45,75.18,70.39,91.24,90.68
180390016012,43.79,37.8,42.16,64.19,75.1
180390016013,61.5,54.0,52.34,8.92,0.0
180390016021,26.28,20.47,23.39,29.76,27.05
180390016022,73.71,43.98,41.81,54.83,42.86
180390016023,12.13,13.47,20.29,15.42,0.0
180390017011,45.78,23.85,32.88,75.26,79.13
180390017021,72.77,64.61,75.4,50.4,36.36
180390017022,0.0,0.0,0.0,0.0,33.12
180390017023,33.04,38.6,35.44,62.73,75.53
180390017024,0.0,89.33,100.0,100.0,100.0
180390017025,76.42,85.16,61.35,39.04,23.19
180390018011,12.7,14.18,6.35,9.27,7.59
180390018012,21.88,19.23,54.05,57.89,66.67
180390018013,25.0,32.45,20.48,22.27,22.86
180390018021,27.43,0.0,0.0,0.0,0.0
180390018022,0.0,31.54,16.4,15.55,16.15
180390018023,33.57,21.25,20.48,20.93,15.32
180390018024,34.2,29.57,23.19,16.85,0.0
180390019011,82.98,79.75,46.2,19.61,63.92
