"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,1850,2005,2051,2059,2033
180390001002,903,764,785,695,671
180390003011,4085,4183,4355,2448,2612
180390003021,670,802,888,892,914
180390003022,856,957,743,543,1304
180390003023,2714,2216,2321,1339,1636
180390003024,762,1030,1267,1531,1675
180390003025,1471,1586,1597,2356,2375
180390004001,1029,1138,1336,1085,1041
180390004002,822,837,700,646,794
180390004003,2980,2960,3129,2268,2062
180390005011,3869,4024,3766,1102,904
180390005012,2748,2451,2515,730,748
180390005021,1194,898,739,736,865
180390005022,1004,1006,1061,1096,1085
180390005023,2973,3176,2990,957,992
180390008011,1650,1508,1532,1557,1727
180390008012,1750,1907,1842,2121,2170
180390010001,1068,1012,1087,1012,1020
180390010002,1171,1314,1214,1199,1386
180390010003,2200,2139,2184,2286,2493
180390011001,1962,1818,1738,1824,2049
180390011002,1987,2049,2162,1963,1829
180390011003,1255,1169,1048,1209,1140
180390012001,1622,1778,1761,1798,1820
180390012002,1344,1185,1200,1251,1403
180390012003,935,850,762,878,898
180390012004,1183,1476,1678,1468,1341
180390015011,2740,2376,2460,2081,2322
180390015012,2229,2307,2045,799,1128
180390015021,2793,3209,3464,3103,2983
180390015022,1043,1021,762,775,710
180390015023,2755,2709,3003,1403,1741
180390016011,797,800,803,742,634
180390016012,1839,2010,2262,2042,2057
180390016013,2213,1826,1585,1210,1118
180390016021,1337,1503,1244,1216,1072
180390016022,1151,1220,1204,1494,1323
180390016023,1988,2115,2170,2138,2184
180390017011,3702,3984,3986,1992,1756
180390017021,1098,996,1263,1360,1095
180390017022,619,667,497,356,614
180390017023,2374,1735,1308,1342,1296
180390017024,412,408,471,568,742
180390017025,1453,1502,1534,1170,1197
180390018011,1252,1380,1766,1812,1664
180390018012,536,577,517,488,406
180390018013,1567,1560,1879,2031,2361
180390018021,731,1149,1034,1574,1546
180390018022,1363,1964,1956,1706,1710
180390018023,914,1011,876,1072,1149
180390018024,4115,3078,3503,1078,1062
180390019011,518,571,488,452,769
180390019012,1533,1044,758,668,331
180390019013,929,1250,1197,1563,1540
180390019014,1978,1890,1905,2155,2113
180390019015,1274,1160,1115,1320,751
180390019021,970,1085,1040,1168,1449
180390019022,3148,3034,2902,1560,1568
180390021011,3140,3269,3811,505,450
180390021012,924,812,700,1537,1832
180390021021,1060,1215,1286,1279,1564
180390021022,1558,1513,1458,1622,1368
180390021023,2900,3208,2798,289,331
180390023001,1003,1041,1118,1207,1444
180390023002,750,669,567,460,548
180390023003,594,703,669,594,526
180390024001,1268,1288,1285,1164,741
180390024002,737,770,722,584,592
180390024003,983,768,876,735,883
180390024004,475,441,692,764,1004
180390024005,1251,1235,1194,1167,1198
180390026001,1038,945,1236,1012,960
180390026002,647,617,652,549,741
