"id","y_2020"
180390001001,0.43
180390001002,8.6
180390002011,6.28
180390002012,0.0
180390002021,6.37
180390002022,0.0
180390002023,0.0
180390003011,14.35
180390003012,1.83
180390003021,4.4
180390003022,0.0
180390003023,0.0
180390003024,2.2
180390003025,0.0
180390004001,5.57
180390004002,12.14
180390004003,7.7
180390004004,2.93
180390005011,4.85
180390005012,5.14
180390005013,0.0
180390005014,5.35
180390005021,0.0
180390005022,0.0
180390005023,3.01
180390005024,0.94
180390006011,14.71
180390006012,13.9
180390006021,6.57
180390006022,9.91
180390006023,4.79
180390007011,0.0
180390007012,11.63
180390007013,0.0
180390007021,0.0
180390007022,2.34
180390007023,0.0
180390008011,8.61
180390008012,1.65
180390008031,0.0
180390008032,7.07
180390008041,11.81
180390008042,24.08
180390008043,13.66
180390009011,4.55
180390009012,2.48
180390009013,12.88
180390009021,21.93
180390009022,16.2
180390010001,2.99
180390010002,6.54
180390010003,5.15
180390011001,12.95
180390011002,11.13
180390011003,0.0
180390012001,0.74
180390012002,13.12
180390012003,3.45
180390012004,4.79
180390013011,8.03
180390013012,10.88
180390013013,8.09
180390013021,26.8
180390013022,14.71
180390013023,3.74
180390014011,10.28
180390014012,17.05
180390014013,0.0
180390014014,33.81
180390014021,3.3
180390014022,0.0
180390015011,7.43
180390015012,4.7
180390015013,3.2
180390015021,7.22
180390015022,0.0
180390015023,13.79
180390015024,8.57
180390016011,0.0
180390016012,2.66
180390016013,2.35
180390016014,0.0
180390016021,2.06
180390016022,0.18
180390016023,4.24
180390017011,1.41
180390017012,6.72
180390017021,0.0
180390017022,0.0
180390017023,0.0
180390017024,0.0
180390017025,0.0
180390018011,10.12
180390018012,0.0
180390018013,8.9
180390018021,8.82
180390018022,3.87
180390018023,10.08
180390018024,14.21
180390018025,7.27
180390019011,0.0
180390019012,14.39
180390019013,0.0
180390019014,1.08
180390019015,0.0
180390019021,2.72
180390019022,17.8
180390019023,1.35
180390020011,0.0
180390020012,9.9
180390020021,0.0
180390020022,9.54
180390020023,16.43
180390021011,0.0
180390021012,4.19
180390021013,12.46
180390021021,0.0
180390021022,0.0
180390021023,7.51
180390021024,0.0
180390022011,0.0
180390022012,0.0
180390022013,0.0
180390022021,0.0
180390022022,0.0
180390022023,0.0
180390022024,0.0
180390023001,0.0
180390023002,0.0
180390023003,0.0
180390024001,0.0
180390024002,3.42
180390024003,0.0
180390024004,2.18
180390024005,0.0
180390026001,3.67
180390026002,5.95
180390026003,1.74
180390026004,0.0
180390026005,0.0
180390027001,0.0
180390027002,0.0
180390027003,0.0
180390029001,0.0
180390029002,0.0
180390029003,6.17
180390029004,28.44
180390029005,4.39
180910401001,0.0
180910401002,0.61
180910403001,0.0
180910403002,0.0
180910403003,1.66
180910404001,0.0
180910404002,9.09
180910404003,11.86
180910405001,1.25
180910405002,0.0
180910405003,7.06
180910406001,0.7
180910406002,1.18
180910406003,1.19
180910407001,9.39
180910407002,7.6
180910408001,0.0
180910408002,0.0
180910408003,0.0
180910409001,2.53
180910411001,5.86
180910411002,7.29
180910412001,14.38
180910413001,0.0
180910413002,0.0
180910414001,0.0
180910414002,1.42
180910414003,6.33
180910415001,13.36
180910415002,9.73
180910415003,4.2
180910416001,0.0
180910416002,6.44
180910416003,29.74
180910416004,6.69
180910417001,3.3
180910417002,20.18
180910417003,4.64
180910418001,2.27
180910418002,10.57
180910418003,6.81
180910418004,16.97
180910419001,9.57
180910419002,0.0
180910419003,5.64
180910419004,17.58
180910419005,0.0
180910420001,7.25
180910420002,0.0
180910421001,0.0
180910421002,10.08
180910421003,0.0
180910421004,0.0
180910421005,7.56
180910422001,1.19
180910422002,10.3
180910423001,0.0
180910423002,0.0
180910424011,0.0
180910424012,0.0
180910424013,4.27
180910424021,8.13
180910424022,1.08
180910424023,6.2
180910425001,0.0
180910425002,2.32
180910425003,19.57
180910425004,20.75
180910426011,1.78
180910426012,17.63
180910426013,43.89
180910426014,15.58
180910426021,0.0
180910427001,3.61
180910427002,5.07
180910427003,0.0
180910427004,2.88
180910428001,4.43
180910428002,8.11
180910429001,6.1
180910429002,11.59
180910429003,3.73
180910430001,2.83
180910430002,1.43
180910430003,0.0
180919900000,
180990201011,2.06
180990201012,17.82
180990201013,0.0
180990201014,0.0
180990201021,10.23
180990201022,16.2
180990201023,4.78
180990202011,2.97
180990202012,0.0
180990202013,0.0
180990202021,7.91
180990202022,0.0
180990203011,1.64
180990203012,17.25
180990203013,10.67
180990203014,8.78
180990203021,0.76
180990203022,4.06
180990203023,7.86
180990204001,0.0
180990204002,0.0
180990204003,1.6
180990205001,0.0
180990205002,17.41
180990205003,4.6
180990206001,9.43
180990206002,0.0
180990206003,5.08
180990206004,1.02
180990207011,4.33
180990207012,7.38
180990207021,4.49
180990207022,8.75
180990207023,2.22
180990208001,3.21
180990208002,2.98
180990208003,0.0
180990208004,1.19
181410001001,0.0
181410001002,0.0
181410001003,0.0
181410002001,0.0
181410002002,0.0
