"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,2.69,2.63,2.58,2.85,2.91
180390001002,2.38,2.18,2.22,2.16,2.01
180390003011,3.1,3.13,3.21,3.62,4.03
180390003021,1.84,2.13,2.32,2.45,2.23
180390003022,2.66,3.23,2.8,2.5,5.77
180390003023,1.64,1.5,1.56,2.48,3.21
180390003024,2.66,2.46,2.77,1.89,2.3
180390003025,2.22,2.33,2.43,1.62,1.65
180390004001,3.22,3.56,4.12,3.89,3.41
180390004002,2.15,2.32,1.81,1.79,1.94
180390004003,2.74,2.71,2.78,3.17,3.11
180390005011,2.87,2.85,2.93,3.12,2.93
180390005012,3.22,3.13,3.13,2.43,2.26
180390005021,3.12,2.7,2.22,2.28,2.53
180390005022,2.27,2.27,2.12,2.28,2.18
180390005023,2.43,2.66,2.54,2.35,2.49
180390008011,3.1,2.86,2.69,2.91,3.04
180390008012,3.49,3.63,3.5,3.71,3.98
180390010001,2.55,2.64,2.68,2.68,2.75
180390010002,2.9,2.98,2.78,3.05,3.36
180390010003,3.23,3.27,3.42,3.23,3.06
180390011001,3.69,3.59,3.37,3.35,3.69
180390011002,3.44,3.65,3.7,3.62,3.84
180390011003,3.3,3.22,3.06,2.26,2.12
180390012001,3.15,3.09,3.64,3.4,3.38
180390012002,1.93,1.82,1.92,2.27,2.79
180390012003,2.48,2.09,2.13,1.96,2.06
180390012004,2.59,2.82,2.87,2.48,2.68
180390015011,2.98,2.75,2.57,2.7,2.71
180390015012,2.57,2.49,2.46,3.77,3.79
180390015021,3.04,3.16,3.28,2.97,2.76
180390015022,2.67,2.84,2.22,2.69,2.81
180390015023,3.1,3.06,3.21,2.87,2.89
180390016011,1.78,1.96,2.04,1.83,1.86
180390016012,2.6,2.7,2.97,2.95,2.87
180390016013,2.0,1.99,1.87,1.85,2.02
180390016021,2.46,2.47,2.41,2.78,2.76
180390016022,2.18,2.17,2.25,2.33,2.42
180390016023,2.27,2.3,2.3,2.35,2.32
180390017011,2.66,2.66,2.75,2.63,2.75
180390017021,2.51,2.35,2.54,2.36,2.15
180390017022,2.46,2.43,2.16,1.9,2.22
180390017023,4.07,3.72,3.09,3.11,3.26
180390017024,1.93,1.87,2.05,2.04,2.45
180390017025,2.29,2.39,2.36,2.12,2.36
180390018011,2.38,2.54,2.73,2.91,2.81
180390018012,1.85,1.74,1.68,1.83,1.78
180390018013,2.29,2.33,2.49,2.35,2.56
180390018021,2.76,2.53,2.43,3.19,3.1
180390018022,2.0,2.39,2.68,2.75,3.15
180390018023,2.07,2.45,2.58,2.23,2.36
180390018024,2.71,2.26,2.29,2.89,2.79
180390019011,2.35,2.34,2.49,2.15,2.55
180390019012,3.31,2.97,2.53,2.7,2.51
180390019013,3.01,2.43,2.65,3.25,2.74
180390019014,2.74,2.43,2.45,2.42,2.53
180390019015,4.25,3.95,3.18,3.35,2.33
180390019021,2.76,2.64,2.71,2.25,2.46
180390019022,2.62,2.58,2.58,3.06,3.14
180390021011,2.72,2.72,3.19,2.87,2.63
180390021012,3.32,3.29,3.1,2.89,3.19
180390021021,3.19,3.04,3.13,3.26,3.34
180390021022,3.5,3.42,3.58,3.52,2.95
180390021023,2.73,2.83,2.43,1.64,1.91
180390023001,2.99,2.92,3.01,2.74,3.01
180390023002,3.41,3.35,2.47,2.34,2.62
180390023003,2.09,2.22,2.08,1.78,1.52
180390024001,3.73,3.44,3.46,3.51,2.49
180390024002,2.74,2.66,2.55,2.53,2.53
180390024003,2.9,2.73,2.7,2.43,2.44
180390024004,2.04,2.0,2.51,2.41,2.43
180390024005,2.57,2.67,2.58,2.6,2.54
180390026001,2.81,2.32,2.74,2.21,2.29
180390026002,3.16,3.74,3.28,3.47,4.01
180390026003,3.09,2.89,2.79,2.67,3.02
180390026004,2.86,2.59,2.7,2.54,2.05
180390026005,3.18,3.4,2.86,3.44,3.17
180390027001,2.83,2.95,2.87,2.51,2.57
180390027002,2.24,2.52,2.75,3.09,3.34
180390027003,2.11,2.27,2.28,2.32,2.44
180390029001,1.76,2.17,3.05,3.3,4.41
180390029002,1.27,1.12,1.15,1.1,1.11
180390029003,2.53,2.64,2.54,2.15,1.93
180390029004,2.93,2.87,2.96,2.4,2.29
180390029005,2.46,2.43,2.72,2.23,2.09
180910401001,3.07,3.05,2.74,2.45,2.12
180910401002,1.69,2.67,2.3,2.64,2.64
180910403001,2.3,2.34,2.35,2.54,2.05
180910403002,2.24,2.19,1.95,1.75,1.83
180910403003,2.72,2.72,2.74,2.94,3.38
180910404001,2.31,2.37,2.64,2.97,2.67
180910404002,2.53,2.32,2.17,2.81,3.1
180910404003,2.33,2.33,2.09,2.05,2.06
180910405001,1.84,1.87,1.89,1.71,1.92
180910405002,1.93,2.04,2.0,2.09,2.51
180910405003,1.9,1.98,2.0,2.08,1.95
180910406001,2.2,2.2,2.04,2.48,2.43
180910406002,2.27,2.37,2.29,2.32,2.35
180910406003,1.88,1.72,1.72,1.71,1.89
180910407001,3.07,2.86,2.49,2.66,2.46
180910407002,2.52,2.71,3.04,3.16,3.36
180910408001,2.47,2.35,2.39,3.09,3.14
180910408002,3.07,3.02,3.37,3.2,2.22
180910408003,2.36,2.62,2.54,2.25,2.39
180910409001,2.44,2.59,2.74,2.86,2.79
180910411001,1.93,1.96,1.99,1.91,1.74
180910411002,1.75,1.73,1.7,1.73,1.89
180910412001,2.15,2.06,1.98,1.94,1.87
180910413001,2.84,2.74,2.59,2.55,2.69
180910413002,2.04,2.08,2.09,2.37,2.05
180910414001,2.42,2.39,2.36,2.41,2.51
180910414002,1.87,1.66,1.6,1.4,2.07
180910414003,1.84,2.19,2.42,2.41,2.48
180910415001,2.65,2.64,2.53,2.47,2.58
180910415002,2.48,2.53,2.45,2.51,2.67
180910415003,2.47,2.47,2.4,1.83,1.77
180910416001,2.14,2.26,2.1,1.84,1.92
180910416002,2.39,2.46,2.29,2.46,2.27
180910416003,2.71,2.5,2.46,2.48,2.57
180910416004,2.5,2.21,2.32,2.45,2.26
180910417001,2.19,2.22,2.26,1.92,2.41
180910417002,2.9,2.87,3.02,2.55,2.56
180910417003,2.02,2.16,2.15,2.45,2.91
180910418001,2.25,2.26,2.41,2.3,2.55
180910418002,2.85,2.85,2.59,3.48,3.59
180910418003,2.55,2.66,3.02,3.07,3.3
180910418004,3.19,3.23,2.83,2.81,2.97
180910419001,2.46,2.62,2.68,2.61,2.9
180910419002,2.86,2.87,3.26,2.92,2.16
180910419003,2.62,2.61,2.69,2.94,2.49
180910419004,2.69,2.75,2.66,2.79,2.99
180910419005,3.09,3.01,3.01,3.63,3.67
180910420001,2.59,2.6,2.45,2.52,2.61
180910420002,2.52,2.41,2.67,2.95,2.95
180910421001,2.0,2.56,2.57,2.66,2.56
180910421002,2.08,2.65,2.69,3.03,3.13
180910421003,2.19,2.42,2.25,1.99,2.07
180910421004,3.13,2.71,2.61,2.74,2.29
180910421005,2.22,2.16,2.03,1.72,1.98
180910422001,1.97,1.92,2.05,2.5,2.56
180910422002,2.38,2.29,2.24,2.14,2.06
180910423001,2.34,2.38,2.41,2.14,2.02
180910423002,1.89,1.79,1.63,1.72,1.65
180910425001,2.1,1.88,1.82,1.52,1.54
180910425002,2.41,2.48,2.51,2.79,2.41
180910425003,2.57,2.26,2.61,2.22,2.38
180910427001,2.69,2.49,2.43,2.19,2.13
180910427002,2.81,2.82,2.64,2.75,2.52
180910427003,2.54,2.48,2.41,2.68,2.66
180910427004,2.6,2.62,2.71,2.63,2.7
180910428001,2.33,2.21,2.4,2.46,2.5
180910428002,2.75,2.86,3.11,3.23,3.09
180910429001,2.32,2.27,2.37,2.05,2.19
180910429002,2.43,2.55,2.46,2.29,2.19
180910429003,2.38,2.39,2.41,2.46,2.46
180910430001,1.76,1.82,1.76,1.83,2.04
180910430002,2.13,2.23,2.35,2.08,2.01
180919900000,,,,,
180990201011,3.13,2.71,2.42,2.24,2.09
180990201012,2.13,2.26,2.35,2.47,2.61
180990201013,2.31,2.38,2.06,2.04,2.11
180990201014,3.09,2.7,2.45,2.27,2.6
180990201021,4.16,4.42,4.0,4.31,4.55
180990201022,3.44,3.43,3.78,3.52,3.15
180990201023,2.27,2.76,2.22,2.39,2.64
180990202011,2.56,2.52,2.59,2.66,2.96
180990202012,3.37,3.37,3.28,3.14,3.3
180990202013,2.71,2.85,2.6,2.51,2.29
180990202021,2.55,2.75,2.65,2.51,2.38
180990202022,2.28,2.04,2.09,2.58,2.64
180990203011,2.4,2.23,1.92,2.17,2.25
180990203012,2.52,2.62,3.03,3.16,3.04
180990203013,3.04,2.81,2.89,3.23,3.13
180990203014,2.37,2.4,2.36,2.08,1.96
180990203021,2.7,2.78,2.42,2.46,2.37
180990203022,2.33,2.26,2.45,2.35,2.29
180990203023,2.27,2.24,2.01,2.01,2.04
180990204001,2.27,2.34,2.11,2.49,2.37
180990204002,2.07,2.17,2.34,2.59,2.65
180990205001,2.84,2.77,2.67,2.3,2.23
180990205002,2.32,2.3,2.6,2.19,4.35
180990205003,2.74,2.39,2.66,2.76,2.34
180990206001,2.53,2.68,2.82,2.78,2.88
180990206002,2.27,2.26,2.53,2.62,2.83
180990206003,2.69,3.03,2.68,2.44,2.52
180990206004,2.92,2.96,2.75,2.62,2.85
180990207011,2.25,2.48,2.49,2.35,2.59
180990207012,2.84,2.77,2.54,2.51,2.63
180990207021,2.7,2.6,2.84,2.68,2.69
180990207022,2.81,2.84,2.84,3.05,3.1
180990207023,2.5,2.51,2.62,2.82,2.63
180990208001,2.65,2.71,2.76,2.75,3.33
180990208002,2.86,2.76,2.79,2.89,2.8
180990208003,2.9,2.79,2.83,2.54,2.62
180990208004,2.88,2.7,2.84,3.06,3.12
181410001001,2.39,2.31,2.53,2.02,2.16
181410001002,2.52,2.52,2.25,2.17,2.06
181410001003,2.32,2.44,2.41,2.04,2.04
181410002001,2.8,2.94,3.01,3.01,3.01
181410002002,2.64,3.52,3.77,4.16,3.75
181410002003,3.0,3.26,2.41,3.24,3.05
181410002004,3.88,4.16,4.4,4.43,4.09
181410003011,2.25,2.56,2.4,2.37,2.29
181410003012,2.18,2.12,2.12,1.95,1.97
181410003013,2.32,2.3,2.47,2.35,2.57
181410003021,2.0,2.01,2.03,1.81,1.9
181410003022,2.77,3.35,3.2,2.73,2.77
181410004001,2.0,1.9,1.97,1.85,2.02
181410004002,4.3,3.91,3.0,2.5,2.46
181410004003,2.61,2.66,2.58,2.75,2.58
181410005001,2.67,3.8,3.61,3.56,3.43
181410005002,2.5,2.42,2.17,2.33,2.26
181410006001,3.34,3.51,3.05,3.06,3.14
181410006002,3.42,3.92,3.79,3.53,2.97
181410006003,3.12,2.86,2.35,1.49,1.19
181410007001,2.62,2.45,2.53,2.35,2.23
181410007002,2.66,2.73,2.6,2.5,2.51
181410008001,2.48,2.51,2.38,2.7,2.81
181410008002,2.05,2.34,2.24,1.88,1.95
181410009001,1.71,1.79,1.7,1.7,1.81
181410009002,2.01,2.1,2.15,1.91,1.73
181410010001,2.85,2.6,2.62,2.15,2.1
181410010002,3.32,3.55,3.32,3.83,3.42
181410010003,2.68,2.91,2.6,2.08,2.2
181410010004,2.24,2.26,2.6,3.2,3.38
181410011001,3.37,3.08,2.7,2.53,2.51
