"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,21432.0,23090.0,24992.0,26764.0,24677.0
180390001002,20000.0,25299.0,24404.0,25155.0,30253.0
180390003011,23650.0,25094.0,24926.0,31378.0,30928.0
180390003021,28617.0,25086.0,26815.0,26222.0,31613.0
180390003022,12357.0,11063.0,14768.0,17124.0,10778.0
180390003023,25277.0,20963.0,23349.0,25901.0,19801.0
180390003024,20259.0,26250.0,25291.0,35078.0,28441.0
180390003025,31188.0,31673.0,31441.0,24286.0,24744.0
180390004001,22005.0,21054.0,20267.0,23950.0,28293.0
180390004002,29248.0,29540.0,28259.0,32346.0,33055.0
180390004003,32614.0,33856.0,36101.0,32771.0,31377.0
180390005011,18876.0,20321.0,23308.0,16950.0,19034.0
180390005012,19716.0,18277.0,19402.0,37325.0,40057.0
180390005021,15256.0,18574.0,17237.0,21845.0,18652.0
180390005022,23112.0,23617.0,31370.0,31096.0,33932.0
180390005023,22041.0,21590.0,23516.0,48209.0,53299.0
180390008011,22963.0,26625.0,35293.0,34925.0,33247.0
180390008012,18821.0,19584.0,23710.0,23441.0,25591.0
180390010001,19067.0,18446.0,19038.0,20776.0,24717.0
180390010002,28320.0,29910.0,34507.0,29756.0,29037.0
180390010003,26002.0,28318.0,30146.0,30970.0,33700.0
180390011001,26812.0,30892.0,34512.0,24614.0,24734.0
180390011002,28177.0,26978.0,27821.0,29681.0,33492.0
180390011003,19057.0,18158.0,20928.0,35602.0,40053.0
180390012001,20569.0,21819.0,18964.0,17968.0,18199.0
180390012002,30909.0,31688.0,34352.0,28796.0,28953.0
180390012003,31250.0,30696.0,31086.0,29226.0,29661.0
180390012004,16911.0,18774.0,21607.0,24085.0,27344.0
180390015011,16623.0,17824.0,20539.0,24975.0,25517.0
180390015012,21322.0,22993.0,25023.0,15215.0,17696.0
180390015021,25267.0,28494.0,27998.0,30366.0,31102.0
180390015022,20910.0,21500.0,32472.0,30676.0,31131.0
180390015023,27148.0,30298.0,28891.0,44191.0,47602.0
180390016011,23056.0,22041.0,23208.0,26843.0,25486.0
180390016012,23973.0,27418.0,23924.0,24908.0,28533.0
180390016013,26654.0,28911.0,27715.0,20067.0,21790.0
180390016021,29242.0,30152.0,29966.0,23959.0,30666.0
180390016022,22145.0,23368.0,23365.0,23252.0,21455.0
180390016023,35407.0,36174.0,40271.0,43172.0,42925.0
180390017011,24405.0,24665.0,25321.0,21033.0,21847.0
180390017021,13847.0,14469.0,17023.0,16822.0,31489.0
180390017022,28750.0,32781.0,41688.0,49544.0,55444.0
180390017023,21334.0,22306.0,19417.0,18020.0,19235.0
180390017024,19619.0,16335.0,11155.0,17249.0,16669.0
180390017025,19183.0,18314.0,18663.0,20181.0,20243.0
180390018011,27377.0,27948.0,27024.0,28859.0,31429.0
180390018012,29492.0,30497.0,34627.0,33211.0,31482.0
180390018013,36656.0,38153.0,31723.0,28190.0,29924.0
180390018021,25556.0,31957.0,32171.0,23886.0,24964.0
180390018022,39628.0,29387.0,23551.0,24915.0,26524.0
180390018023,43637.0,41654.0,45239.0,45048.0,47615.0
180390018024,24686.0,27934.0,31895.0,34553.0,30977.0
180390019011,15676.0,14342.0,15922.0,19534.0,16067.0
