"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,18.08,17.85,17.14,18.15,13.15
180390001002,22.56,20.55,18.63,15.68,3.69
180390003011,18.23,18.85,18.61,23.09,22.09
180390003021,18.23,11.95,15.41,13.85,14.56
180390003022,23.5,33.87,25.65,20.82,27.05
180390003023,14.52,20.81,14.16,6.42,15.96
180390003024,9.37,6.27,8.01,15.0,12.42
180390003025,18.6,15.02,14.5,6.37,5.71
180390004001,18.6,18.86,22.38,20.59,10.02
180390004002,4.96,4.3,4.72,4.77,5.47
180390004003,12.04,7.79,8.73,6.13,6.98
180390005011,29.71,26.5,30.05,20.18,22.77
180390005012,17.66,15.32,12.08,5.84,13.16
180390005021,25.35,13.95,12.72,8.78,27.12
180390005022,11.2,10.7,10.38,10.78,11.72
180390005023,18.21,17.27,18.79,11.04,14.03
180390008011,18.7,16.24,17.34,25.58,19.3
180390008012,50.53,50.05,51.09,48.87,56.81
180390010001,14.78,22.07,28.86,24.27,27.31
180390010002,10.18,20.09,17.76,24.37,21.85
180390010003,7.97,6.98,6.84,6.72,9.24
180390011001,44.7,43.06,39.28,42.1,43.37
180390011002,32.72,35.46,38.71,34.85,37.5
180390011003,34.09,31.67,29.33,8.12,6.25
180390012001,18.58,26.72,35.34,32.42,35.91
180390012002,7.87,4.89,8.25,9.34,12.07
180390012003,0.0,0.0,0.0,0.0,15.39
180390012004,4.98,7.56,8.14,3.21,12.91
180390015011,22.23,18.45,21.13,11.24,10.94
180390015012,10.2,10.76,10.54,33.97,15.6
180390015021,24.69,19.36,17.59,20.49,21.7
180390015022,6.46,6.96,8.8,8.59,10.84
180390015023,8.29,4.44,7.19,1.87,1.76
180390016011,15.36,16.43,16.92,14.24,16.07
180390016012,20.37,22.65,23.19,21.03,18.77
180390016013,6.81,8.14,8.28,2.81,3.14
180390016021,7.34,4.53,3.64,5.34,8.89
180390016022,16.32,20.19,22.41,26.61,28.28
180390016023,16.43,13.6,9.77,9.08,7.02
